
id,statement,source
1,"The Ministry of Power launched the Revamped Distribution Sector Scheme to improve power infrastructure.","PIB"
2,"The government extended the PM-KUSUM scheme to promote solar pumps for farmers.","PIB"
3,"The Ministry of Agriculture announced an increase in MSP for major crops for the 2024–25 season.","PIB"
4,"The National Health Authority expanded the Ayushman Bharat Digital Mission.","PIB"
5,"The Cabinet approved the construction of new national highways under Bharatmala Phase-II.","PIB"
6,"The Ministry of Finance released GST compensation to states for the financial year 2023–24.","PIB"
7,"The government launched the IndiaAI Mission to boost domestic AI innovation.","PIB"
8,"The Ministry of Education announced the establishment of 100 new PM SHRI schools.","PIB"
9,"The Ministry of Defence inducted new indigenous artillery systems into the Indian Army.","PIB"
10,"The Ministry of Railways introduced Vande Bharat trains on additional routes in 2024.","PIB"
11,"The government approved the Green Hydrogen Mission to promote clean energy.","PIB"
12,"The Ministry of Civil Aviation launched UDAN 5.0 to expand regional air connectivity.","PIB"
13,"The Ministry of Housing approved new projects under the Pradhan Mantri Awas Yojana-Urban.","PIB"
14,"The government increased the fertilizer subsidy allocation for Kharif 2024.","PIB"
15,"The Ministry of Environment notified new air-quality monitoring stations.","PIB"
16,"The Cabinet cleared the Digital India Act draft for public consultation.","PIB"
17,"The Ministry of Rural Development expanded eGramSwaraj for digital panchayat governance.","PIB"
18,"The Ministry of Labour increased the minimum wage for unskilled workers.","PIB"
19,"The Ministry of Health approved the rollout of HPV vaccines for teenage girls.","PIB"
20,"The government launched a national portal for drone pilot licensing.","PIB"
21,"The Ministry of Power announced reforms to reduce electricity losses in states.","PIB"
22,"The Food Corporation of India increased buffer stock norms for wheat and rice.","PIB"
23,"The government approved a new semiconductor fabrication incentive scheme.","PIB"
24,"The Ministry of Education announced guidelines for skill-based courses in schools.","PIB"
25,"The Ministry of Tourism launched an international campaign to promote heritage circuits.","PIB"
26,"The Ministry of MSME expanded the Credit Guarantee Scheme for small businesses.","PIB"
27,"The Ministry of Textiles approved new PM MITRA Parks in multiple states.","PIB"
28,"The Ministry of Ports announced expansion works at major Indian ports.","PIB"
29,"The Ministry of Communications rolled out 5G services in additional districts.","PIB"
30,"The Ministry of Culture launched a digital archive of archaeological findings.","PIB"
31,"The government approved rooftop solar subsidies under the PM-Surya Ghar Yojana.","PIB"
32,"The Ministry of Petroleum increased the blending target for ethanol in petrol.","PIB"
33,"The government announced new incentives for electric vehicle manufacturing.","PIB"
34,"The Ministry of Defence commissioned a new coast guard vessel.","PIB"
35,"The Ministry of Railways modernized signaling systems on key routes.","PIB"
36,"The Ministry of Agriculture expanded crop insurance coverage under PMFBY.","PIB"
37,"The Ministry of Finance announced tax relief for startups under the Startup India initiative.","PIB"
38,"The Ministry of Power clarified that no nationwide free electricity scheme for farmers was approved as of 2024.","PIB"
39,"The Ministry of Health launched a national telemedicine helpline.","PIB"
40,"The government increased funding for Jal Jeevan Mission to accelerate rural tap connections.","PIB"
41,"The Ministry of Higher Education sanctioned new research grants for universities.","PIB"
42,"The Ministry of Road Transport launched a digital system for vehicle fitness testing.","PIB"
43,"The government approved subsidies for rooftop rainwater harvesting systems.","PIB"
44,"The Ministry of Science and Technology announced a national quantum computing research program.","PIB"
45,"The government launched the BharatNet Phase-III plan to expand rural broadband.","PIB"
46,"The Ministry of Agriculture introduced a digital crop survey for accurate yield estimation.","PIB"
47,"The Cabinet approved the merger of several regional rural banks for operational efficiency.","PIB"
48,"The Ministry of Home Affairs increased allocations for disaster response forces.","PIB"
49,"The Ministry of Electronics announced a cybersecurity awareness campaign.","PIB"
50,"The government clarified that no nationwide farm loan waiver was announced in 2024.","PIB"
